,P1070,YEAR,Index
0,Apartment,2018,0.32694314389558865
1,Apartment,2019,0.3281976421320171
2,Apartment,2020,0.3255758875245794
3,Apartment,2021,0.33272797572848756
4,House,2018,0.4361034347356155
5,House,2019,0.43223361225618423
6,House,2020,0.419748092161805
7,House,2021,0.42416315697382595
8,Indigenous Traditional House,2018,0.551143944354663
9,Indigenous Traditional House,2019,0.5496267127920825
10,Indigenous Traditional House,2020,0.5541146270210457
11,Indigenous Traditional House,2021,0.5519848625161122
12,"Other (tent, container, wagon,<br> ship, cave, natural shelter, etc.)",2018,0.5084200522061538
13,"Other (tent, container, wagon,<br> ship, cave, natural shelter, etc.)",2019,0.5354644842942106
14,"Other (tent, container, wagon,<br> ship, cave, natural shelter, etc.)",2020,0.5166295757881818
15,"Other (tent, container, wagon,<br> ship, cave, natural shelter, etc.)",2021,0.5168965205079364
16,Room,2018,0.46684962092275717
17,Room,2019,0.4600284421375581
18,Room,2020,0.45630010643422764
19,Room,2021,0.45740990202121456
