,REGION,YEAR,Index
0,Antioquia,2018,0.36848113956500617
1,Antioquia,2019,0.36763168341817665
2,Antioquia,2020,0.38651624412086594
3,Antioquia,2021,0.39194746713028067
4,Bogotá,2018,0.28026532629314765
5,Bogotá,2019,0.2841993013720828
6,Bogotá,2020,0.3366762467439231
7,Bogotá,2021,0.29678503257712396
8,Caribe,2018,0.44302786452349546
9,Caribe,2019,0.44219870501820163
10,Caribe,2020,0.4371808433861684
11,Caribe,2021,0.43636720036855153
12,Central,2018,0.3974825546112419
13,Central,2019,0.401385035874337
14,Central,2020,0.38846971386953716
15,Central,2021,0.3922642697983819
16,Oriental,2018,0.4123919215731487
17,Oriental,2019,0.4065484677490171
18,Oriental,2020,0.38474331735082296
19,Oriental,2021,0.40310880188141096
20,Orinoquía - amazonía,2018,0.4602423129670261
21,Orinoquía - amazonía,2019,0.46674703937076145
22,Orinoquía - amazonía,2020,0.45165883886248753
23,Orinoquía - amazonía,2021,0.4553516773349578
24,Pacífica(not valley),2018,0.46344042008344144
25,Pacífica(not valley),2019,0.4612334705333147
26,Pacífica(not valley),2020,0.45062437296685615
27,Pacífica(not valley),2021,0.44779746077442784
28,San Andrés,2018,0.34733833804081077
29,San Andrés,2019,0.35601034444695834
30,San Andrés,2020,0.3617456855299537
31,San Andrés,2021,0.3537436375299065
32,Valle del cauca,2018,0.3700202257793501
33,Valle del cauca,2019,0.3584988110833232
34,Valle del cauca,2020,0.355340938240441
35,Valle del cauca,2021,0.3514959750934498
