,YEAR,P1_DEPARTAMENTO,Index
0,2018,05,0.36848113956500617
1,2018,08,0.3901245228944422
2,2018,11,0.33821200305337457
3,2018,13,0.4366852890008339
4,2018,15,0.4175217258884539
5,2018,17,0.3842425779355344
6,2018,18,0.43260994614174075
7,2018,19,0.43559295817753085
8,2018,20,0.43358192415049845
9,2018,23,0.4642602311710878
10,2018,25,0.3985407640849483
11,2018,27,0.4903740914127727
12,2018,41,0.4096298872432608
13,2018,44,0.469791943941306
14,2018,47,0.4552528528326261
15,2018,50,0.4182272301108736
16,2018,52,0.4689184388814186
17,2018,54,0.43676704135873295
18,2018,63,0.3744241059706551
19,2018,66,0.3734830158565046
20,2018,68,0.386926120317287
21,2018,70,0.46860545275511406
22,2018,73,0.42760558689415834
23,2018,76,0.3700202257793501
24,2018,81,0.45677242521464706
25,2018,85,0.42844633357610257
26,2018,86,0.4826067637250074
27,2018,88,0.34733833804081077
28,2018,91,0.4460499659019835
29,2018,94,0.48867466419955974
30,2018,95,0.4559101577026952
31,2018,97,0.47434207394768263
32,2018,99,0.47444970225347616
33,2019,05,0.36763168341817665
34,2019,08,0.39172469032882573
35,2019,11,0.3365629713898913
36,2019,13,0.4467316746817528
37,2019,15,0.4136588159702399
38,2019,17,0.3921516701566941
39,2019,18,0.44184178767036053
40,2019,19,0.4440063212730795
41,2019,20,0.4386018718389406
42,2019,23,0.453565307684114
43,2019,25,0.38408385104863185
44,2019,27,0.4827460883034012
45,2019,41,0.4131679175107323
46,2019,44,0.4517928215365702
47,2019,47,0.4480608730282407
48,2019,50,0.4136810554064711
49,2019,52,0.460696216854
50,2019,54,0.4334216430391063
51,2019,63,0.36897650249054526
52,2019,66,0.392692877534683
53,2019,68,0.3853244253717241
54,2019,70,0.4721125450082772
55,2019,73,0.41880464874511447
56,2019,76,0.3584988110833232
57,2019,81,0.44412612491066256
58,2019,85,0.4353829354227696
59,2019,86,0.489365306025906
60,2019,88,0.35601034444695834
61,2019,91,0.4537891251159368
62,2019,94,0.4938615834878689
63,2019,95,0.4699354277332915
64,2019,97,0.4799930725705305
65,2019,99,0.4770343505397826
66,2020,05,0.38651624412086594
67,2020,08,0.38585465292492416
68,2020,11,0.3366762467439231
69,2020,13,0.42995721325738057
70,2020,15,0.40323462309176006
71,2020,17,0.37019286587793426
72,2020,18,0.4346227523304428
73,2020,19,0.42805649725995215
74,2020,20,0.4293407278547816
75,2020,23,0.4457223701554446
76,2020,25,0.3747500903415221
77,2020,27,0.48554852297358486
78,2020,41,0.4023381375732051
79,2020,44,0.46852665960307865
80,2020,47,0.43331528291021504
81,2020,50,0.40206593327449247
82,2020,52,0.449564289913473
83,2020,54,0.41767254556386196
84,2020,63,0.358443201018165
85,2020,66,0.36884136134034484
86,2020,68,0.3809345678898736
87,2020,70,0.4716431644555781
88,2020,73,0.40974802175131914
89,2020,76,0.355340938240441
90,2020,81,0.43366371233623
91,2020,85,0.41806078199686375
92,2020,86,0.4581812002195714
93,2020,88,0.3617456855299537
94,2020,91,0.43978202559838264
95,2020,94,0.49862898400657724
96,2020,95,0.45683993394236183
97,2020,97,0.4701696281540476
98,2020,99,0.4581966965557757
99,2021,05,0.39194746713028067
100,2021,08,0.38998779899305497
101,2021,11,0.3366306838784773
102,2021,13,0.42671543173220366
103,2021,15,0.41216786806544503
104,2021,17,0.3836195773117437
105,2021,18,0.4361968158852314
106,2021,19,0.4357106032506272
107,2021,20,0.43124681628914824
108,2021,23,0.4615430757993925
109,2021,25,0.3921033429884606
110,2021,27,0.47458657013743055
111,2021,41,0.4013720652997017
112,2021,44,0.4643054511740855
113,2021,47,0.43267531297613343
114,2021,50,0.3902085746247001
115,2021,52,0.4433071688917603
116,2021,54,0.4193395788588351
117,2021,63,0.35541433452197096
118,2021,66,0.37558220835946543
119,2021,68,0.4003143238850282
120,2021,70,0.4601148829871397
121,2021,73,0.41731854458891593
122,2021,76,0.3514959750934498
123,2021,81,0.4289413549214688
124,2021,85,0.418169813347317
125,2021,86,0.47104770787288525
126,2021,88,0.3537436375299065
127,2021,91,0.44557875640908395
128,2021,94,0.4907335826841799
129,2021,95,0.47444373856598315
130,2021,97,0.45819875800523635
131,2021,99,0.4683294558785237
